product_id,product_name,price,supermarket_name,category,unit,quantity,observations,folder_link,valid_until
1,Chips/Snack Solo,5.49,Empório Big,Snacks,g,42,,"https://example.com/emporio_veggie",2025-04-27
2,Chips/Snack Solo,5.49,Empório Big,Snacks,g,45,,"https://example.com/emporio_veggie",2025-04-27
3,Chips/Snack Solo,5.49,Empório Big,Snacks,g,50,,"https://example.com/emporio_veggie",2025-04-27
4,Frutas Cristalizadas Empório Big,7.49,Empório Big,Doces,g,300,,"https://example.com/emporio_veggie",2025-04-27
5,Tempero Lemon Pepper Empório Big,6.99,Empório Big,Temperos,g,220,,"https://example.com/emporio_veggie",2025-04-27
6,Chá Feel Good TP,7.99,Empório Big,Bebidas,l,1,,"https://example.com/emporio_veggie",2025-04-27
7,Salgadinho de Batata Yes sem Glúten,9.49,Empório Big,Snacks,g,100,,"https://example.com/emporio_veggie",2025-04-27
8,Pão Francês Schär sem Glúten,11.49,Empório Big,Padaria,g,100,,"https://example.com/emporio_veggie",2025-04-27
9,Pão de Forma Schar Quinoa e Linhaça sem Glúten,15.99,Empório Big,Padaria,g,200,,"https://example.com/emporio_veggie",2025-04-27
10,Nozes sem Casca Empório Big,16.90,Empório Big,Grãos e Sementes,g,150,,"https://example.com/emporio_veggie",2025-04-27
11,Pão de Forma Grani Amici sem Glúten,17.98,Empório Big,Padaria,g,420,,"https://example.com/emporio_veggie",2025-04-27
12,Castanha de Caju Torrada com Sal Empório Big,19.90,Empório Big,Grãos e Sementes,g,200,,"https://example.com/emporio_veggie",2025-04-27
13,Hambúrguer Mari Mari Tradicional Congelado,2.49,Empório Big,Congelados,g,60,,"https://example.com/emporio_veggie",2025-04-27
14,Hambúrguer Mari Mari Legumes Congelado,2.99,Empório Big,Congelados,g,67,,"https://example.com/emporio_veggie",2025-04-27
15,Bombom Bit Brigadeiro,3.79,Empório Big,Doces,un,1,,"https://example.com/emporio_veggie",2025-04-27
16,Bombom Bit Brigadeiro,3.79,Empório Big,Doces,g,19,,"https://example.com/emporio_veggie",2025-04-27
17,Creme de Aveia Nude sem Glúten,5.99,Empório Big,Laticínios e Alternativos,ml,200,,"https://example.com/emporio_veggie",2025-04-27
18,Conito Vegano,6.79,Empório Big,Doces,g,35,,"https://example.com/emporio_veggie",2025-04-27
19,Bebida de Aveia Nude sem Glúten,7.49,Empório Big,Bebidas,ml,200,,"https://example.com/emporio_veggie",2025-04-27
20,Mousse Vida Veg,8.49,Empório Big,Doces,g,200,,"https://example.com/emporio_veggie",2025-04-27
21,Maionese Legurmê Orgânica,10.49,Empório Big,Condimentos,g,270,,"https://example.com/emporio_veggie",2025-04-27
22,Ketchup Legurmê Orgânico,10.99,Empório Big,Condimentos,g,270,,"https://example.com/emporio_veggie",2025-04-27
23,Molho de Tomate Legurmê Orgânico,11.49,Empório Big,Condimentos,g,330,,"https://example.com/emporio_veggie",2025-04-27
24,Bebida Vegetal Fresca Vida Veg,12.99,Empório Big,Bebidas,ml,700,,"https://example.com/emporio_veggie",2025-04-27
